target,text
4,I'm thinking I'm gonna myspace 4 a bit but will b checking in 
0,"he went to work, now the puppy and I are bored again "
0,"life is an ilusion , love is  a dream  but i dont know what it is...... "
0,@HoffmanRobert DANG IT!! ALREADY OUT OF OF VEG    BUT UR SO HANDSOME  BETTER LUCK NEXT TIME...
4,@buckhollywood sorry!!!!!!! continue music? 
4,National Pride car wash crackin'? Welcome to summertime in the 206  'Holla den!' (c) 'Ye
4,is loving our life back at home 
4,submitted my assignment just now. 
4,@Torillas Hee.  Typical Z bird face.  *loves him*  Thanks woman.  
0,AHHH  Angie is lost in the city  gah this is my fault. I'm worried about her 
4,"Now stop looking like Wiley Coyote after going over the edge $SPX, fall why don't you! "
0,"@BrandonJamesDB Wale!!!  Lucky ducky!!! Wish I was going, too!!!!! "
4,@JackieRussel Oh how cute!    Enjoy that pizza!
0,@OysterMag is new mag out tomorrow????? i need my oyster fix!!! been too LONG  xxx
4,The greek food was sooooo good that I ate to much  hmmm lovely tzatziki and mousakka yum!
4,@shereenk maybe 
0,@melissa_paige92 dude there's a new twitter app called twitter pro an it looks so tight but it's $4.99  I kinds want to buy it though...
4,@nicolassa new drum carder? SWEET! 
0,at marissa's. maggie's going away party in the morning. 
4,waking up to kate bush &amp; fever ray 
0,"@mileycyrus i wish ya the best , i feeel so bad , bec i can't vote for ya "
4,@EdricChin im on leave this whole week till next tuesday.. 
4,ok that dinner rocked 
4,On a chase for theses tickets! Bank on that! (chase bank; get it?) 
4,Life is awesome right now 
0,was just reminded by @Zay_Ish about the 'lovely Italian boys' . . . yeah she doesnt mind going any more XD . . . but still 672 hours 
0,@_misshannah damn you !!!  that's properly unfair!
4,@Dannymcfly good luck  no pressure at all !.  xx
0,almost done my social studies project! yay! listening to owl city &amp; thinking of new video ideas. tehn studying + more projects. ugh! 
4,I'm loving this weather 
0,"@imeantheend IKR, it's BOILING in my room  I'd expect the temperature to drop significantly at night...?"
0,@annamarciante - OMG I'm so sorry we totally forgot..... what with @beewalsh almost fully breaking my window and all...  sorry love...
0,Should standing up to what you believe in lead to death? R.I.P  #iranelection
4,"Since Nadal was out.... Go Federer!! Avenge for Nadal!!  It's not like that, but.. anyway.."
0,@caro  I missed the finaly last night...
0,@quirke yup facebook tonight is very URGH lots of issues  i gave up! Hugs ALicia
0,@adriennemcc I  miss talking to you on BB messenger  MY DAY IS SO BORING!
4,@PoohDAPRINCESS Please support Electrik Red and sign these http://bit.ly/42zJa http://twitition.com/f5iae Thanks!!! 
0,ok but talk more often 
4,"@SensualStories Good morning, beautiful one!  "
4,Just got home. Tired as fuck forealll hah. About to eat me some easy mac and pass out. 
4,@podmiel Oh! I was talking about Quicksilver for Mac 
0,@LiatTsarfati sorry to hear that 
0,@Pink Ya its been raining here all day! Wish it was sunny n warm 
4,@carece Hope your week has been wonderful.  Thank you for the #FF recommendation.    Looking forward to catching up soon.
4,"Irritates me when I sched an appt with a client a wk out &amp; cancel 15min before! In other news, just made 2nd Starbucks stop today!  LOL"
4,@jeffnewsom super cute  I just linked to your image on my blog  http://bit.ly/QFd71
4,thank qod i decided to qo out ... home at 4.30am .- qood niqht . 
4,is so happy starfield is going to be at yc ! 
4,@TheSUPERGIRL ill see if ii can get more closeup of the products today  do you have places like that in your area?
4,"@Annielicious: sweet dreams.  Love you, dear "
0,does not want to go to sixth period. 
0,@weremoo me too today  *sends hugs*
4,"Meeting The Virgin Band at Espresso Weekend, ANTV this morn at 10. Let's find out if they're same like the band's name "
4,I LOVE ALISHIAAAAAA WEIKLE &lt;3 &lt;3  
0,can finally relax. its nice outside. about to go for a stroll. wish mike was here 
4,Google Gears is not dead. Some interesting new feature. I should play with it again  http://liip.to/N1
4,"Up was good   I wanna know how Pixar keeps coming up with these random, but good stories..."
0,this tweetdeck app is pretty cool! now why can't i mms ? blaaaah 
4,Making Applesauce Blueberry &amp; Applesauce Raspberry muffins for Ms. Stacey Rosalie Searle 
4,@breadbox64 Thanks for making an inspirational Contiki application! 
4,in the middle of traffic thinking ...kapan baby alphard gw bs terbang 
4,@KevinWelchhh excuse me. sike. let's go to the jersey turnpike &amp; jump off. 
0,@Nerakxx I am lost. Please help me find a good home. 
0,On twitter about to tweet as much as I can before I go to a funeral  I hate going to funeral's!!!!!! Two in one month  
0,@lauramoorcroft are youuu going? i have no money 
4,@steitiyeh -glad to have  been of assistance  Whatch them power in once that puppy is fixed! 
0,@sugarsharrk Hey I was scared last night at 3:17 because of you... and I had several bad nightmares 
4,There's no place like home.  finally back in kansas
4,@lilyallenfans You are actually the best 
4,@shrydar hahaha that's awesome 
4,is finally getting the hang of this 
0,"I want Halo 3, or my DS! None which I have here! "
0,@Stars_Meg thanks! and aww meg that's a downer  you can come visit us! I'll find you an extra GL shirt haha
4,"@NicolaMandy do you have a picture? lol, ducks are pretty cool "
4,"Almost done with my sis' hair, just ate Mcdonald's and am having my fav vanilla Iced Coffee "
4,@Hollywelch You know you love me 
0,@linorulli &quot;sorry didn't get a chance to meet you  Was busy meeting the Bishop of Orange County @ the Basilica in San Juan Capistrano!&quot;
0,I really don't wanna leave Paige...anyone but Paige.  #thisfuckingsucks
0,stressing out 
0,@Sznq  I know.. such a sad sight 
0,from Iran: Please don't forget us.  People are crying in the street. We need your help.... #Iranelection
0,"just left the mexican restaraunt, without tiffany. "
4,bonfiree tonight 
4,@adamwc Sounds good to me!  I'll see you then...
4,getting ready for m'bro music livee 
0,@explodedsoda haha ok thats mean!!!!  Now I'm sad
4,@Maxii @CappyLust Already picked out a name. Thanks anyway 
0,Is Discouraged. Thanks @Scottycurf . I'm gonna work at @Rue21 for the rest of my life. Dreams.. Crushhed. I Need 2 Stop sucking @ Life 
4,@Heltory i am chilling it out in my flat drinking hot chocolate 
4,@HanaStephenson Yes  Would you follow me? that would be cool  ;) xoxo
0,"Missing a chance to sub with Cheds.  More rational heads (Bill) prevailed however, as I sat here hacking up a lung. "
0,My name is Kathryn and I wish I was at Jordancon today 
4,"Ladette to Lady looks interesting this year,,,should be a laugh. "
0,"My little sister wants to have a water balloon fight at 930 in the morning. Being the baby of our fam, my dad is making us actually play "
4,@icobee Kailangan ko pa sabihin?! I'm so hurt HAHA joke! Oh come on :&gt; Mamaya may scandal ka na rin ha! HAHA Let's go out with Aimee 
4,"@johnembrace I'm sure I will, thank you for your kind follow, means a lot to me. "
0,"I definately need more sleep. #Teething all night everynight. Wasn't paying attention today, dropped my new #Nokia5880 in a carpark. Gone "
0,I wish I had a mac book pro and windows 7 and a new truck 
4,"@rendykstan My tummy is growing bigger, 6 Months pregnant and my little son moves all the time! Such a JOY!!! How are you, Rendy? "
0,@BrookeAlbertson awhhz I'm sorry brooke people can just be cold and heartless 
0,will be torn for years to come with David Letterman &amp; Conan on at the same time. 
4,@emmaincannes Good Morning  x
4,@TMTOHD hey Tam!!! I miss ya girl 
4,"joe single ladies dance is just SO funny , "
4,just got back from nando's.. mmmm.  but feels like her stomach is gunna burst with foood!  
4,i have to get my mind off of things....a Sonny marathon on Disney Channel is the perfect cure 
4,"@MayerHawthorne love music, can't wait your release "
4,@gilesgoatboy DOH! I was just looking for something to hack on for a bit. I'll dig around for something else 
0,@unmarketing I won't make it    you will have to be funny without me.
0,"tears in heaven, such a sad song  but beautiful all the same."
4,"@Jed2191 okay thanks a lot for your help, I know who to turn to in future if I need computer advice! "
0,@Cadistra   when do you find out?
0,and its over now  watch on now? hmmm
0,hate that i didn't watch the weather 4 2day. Was nice this am so i got my car washed &amp; now its bout 2 rain 
0,At work!! Gonna lay out today if it gets more sunny! Trying to carmelize... Cotton mouth anyone? Yes right here!! 
0,@JusLiveMyLyfe my tooth  omg I can't take it anymore *crying*
0,Is the smelly kid 
4,@patient_warrior i  love lyricyst 
